symbol	unit	months	first	last	bytes	md5	filename
spx	2021q3	3	202107	202109	25318037	c83abdce506859c19f7f02d672ebffee	spx_eod_2021q3-kgzold.7z
spx	2021q4	3	202110	202112	29074003	d6eae44bb48d9bdee6891379dd0c06e1	spx_eod_2021q4-r3h0dx.7z
spx	2022q1	3	202201	202203	26627327	08d32142c3b8371272f7b18b8bd8f0d2	spx_eod_2022q1-ff0r18.7z
spx	2022q2	3	202204	202206	24615507	7249efea94831059c3c810774e9e3337	spx_eod_2022q2-bxgzw0.7z
spx	2022q3	3	202207	202209	25370865	12503bb03b90351cc526f583f32ae5b1	spx_eod_2022q3-1f2afi.7z
spx	2022q4	3	202210	202212	25302991	5d84a17a956b2517d06c84bad26d25c0	spx_eod_2022q4-dmme3k.7z
spx	2023q1	3	202301	202303	22905217	dc324b94ed2c85ed605c0211f7ac17c0	spx_eod_2023q1-cfph7w.7z
spx	2023q2	3	202304	202306	22853104	41c3045c60e2e1e3b1f2356740f0d4c7	spx_eod_2023q2-kdxt36.7z
spx	2023q3	3	202307	202309	24709486	62958de5feedbe475bb734252462e175	spx_eod_2023q3-w9b0jk.7z
spx	2023q4	3	202310	202312	26303902	367d868e2dd9bca07e6eff915348f0b6	spx_eod_2023q4-ai4uc9.7z
spy	2010	12	201001	201012	12305369	94891e1ff77624329d1972c3c9ba8de9	spy_eod_2010-bndqqt.7z
spy	2011	12	201101	201112	13641119	a38ab437d7fb61f64f7fe80fe368dba0	spy_eod_2011-vdjy9h.7z
spy	2012	12	201201	201212	15895758	211775b10833858f9e4ce0eace3c1abf	spy_eod_2012-gghtsj.7z
spy	2013	12	201301	201312	16707036	5a5149cb40dda76eb6bee0586dc59f6e	spy_eod_2013-davchg.7z
spy	2014	12	201401	201412	19950074	4814121e0235a4bf12842829be2e6a7e	spy_eod_2014-6rlzuz.7z
spy	2015	12	201501	201512	23547618	e22e96944ceb70891e9b5f93dc5a0694	spy_eod_2015-2djnnd.7z
spy	2016	12	201601	201612	25788259	0ada609f4d09cbfa5a4a973bd4d632ef	spy_eod_2016-6kgvva.7z
spy	2017	12	201701	201712	28756163	018757f48a2b520a70fe9c3e90e442e3	spy_eod_2017-owhrwk.7z
spy	2018	12	201801	201812	37060738	bcbe19a5791f5010e0cb33f27cef7bf1	spy_eod_2018-7fpgd6.7z
spy	2019	12	201901	201912	41489602	d25cbd0ea0ba6e67fb703b9fe1b58c5e	spy_eod_2019-eotnx0.7z
spy	2020	12	202001	202012	58537127	fde7e83c3e51b0b51de4fc65f73ed07a	spy_eod_2020-kwe0mi.7z
spy	2021	12	202101	202112	63005392	e68dbbfd17bbdb1f4403ed21d68559ff	spy_eod_2021-borwkq.7z
spy	2022q1	3	202201	202203	15054780	a5361091b6421b048e78cbec9168e090	spy_eod_2022q1-ww0cra.7z
spy	2022q2	3	202204	202206	13787264	11135671894ab6445faef5e7aa5f9c23	spy_eod_2022q2-xofvwa.7z
spy	2022q3	3	202207	202209	14005716	3a968b72762ceb32aae5ef4f0f331c85	spy_eod_2022q3-we1um1.7z
spy	2022q4	3	202210	202212	12682757	60019ed2d125e655e14a5d427cfe5daf	spy_eod_2022q4-wh2csq.7z
spy	2023q1	3	202301	202303	11699987	f83270bff4175071095b2dd425b80fc2	spy_eod_2023q1-zfoivd.7z
spy	2023q2	3	202304	202306	11142783	923da62db3f2c64c90a56ecaae38c647	spy_eod_2023q2-nnkjka.7z
spy	2023q3	3	202307	202309	11310896	2882ba0d46f40396ac1e77494d63ef14	spy_eod_2023q3-nyvdmv.7z
spy	2023q4	3	202310	202312	11845124	0c85270f9d4d7399dde3336debd6e5a5	spy_eod_2023q4-vzwoxb.7z
tsla	2016	12	201601	201612	9010072	f29c3d54c4c1bc0fdbe9228a480b00b6	tsla_eod_2016.7z
tsla	2017	12	201701	201712	12117769	df2cce9b83895804d69383905abe9b30	tsla_eod_2017.7z
tsla	2018	12	201801	201812	15942639	d7cccad002de48e434ef27899e744ba7	tsla_eod_2018.7z
tsla	2019	12	201901	201912	16788402	7abd027a8458ada80a8c5bbd2b274a95	tsla_eod_2019.7z
tsla	2020	12	202001	202012	47233203	b3dd6a86d0e9b194111fdcf2e8641b8f	tsla_eod_2020.7z
tsla	2021	7	202101	202107	20747699	e2ad745ba9d536c5dbc0962706ca819a	tsla_eod_2021.7z
tsla	2021q3	3	202107	202109	8591800	924a23113e7517a623ed1e554c6f44ee	tsla_eod_2021q3-no9ivn.7z
tsla	2021q4	3	202110	202112	9728916	97af64eaf2778f9f3b06a81a62475d14	tsla_eod_2021q4-yatg4t.7z
tsla	2022q1	3	202201	202203	9573693	f5829995a6739202de77d930b4f61d90	tsla_eod_2022q1-ewakud.7z
tsla	2022q2_3	6	202204	202209	16469284	6ecb1e3dfd94ef3bda5668a53a594b45	tsla_eod_2022q2_3-nkhhuo.7z
tsla	2022q4	3	202210	202212	6047257	5ed5ef02b45f0e7b2ce35ec96c81857d	tsla_eod_2022q4-6urlh3.7z
tsla	2023q1	3	202301	202303	6541472	a809440089189a212899146a67ac60ee	tsla_eod_2023q1-hbzzpm.7z
tsla	2023q2	3	202304	202306	5850783	121223c9c6a9e7a882fab98919ab7dc4	tsla_eod_2023q2-fldelo.7z
tsla	2023q3	3	202307	202309	6425962	028c4b96996c27ac0fc28acd3a9ec3e1	tsla_eod_2023q3-ylr89l.7z
tsla	2023q4	3	202310	202312	6054086	7ce44e0652f36baa6dbe4d39f3cdc455	tsla_eod_2023q4-q3rxa3.7z
vix	2010	12	201001	201012	1465821	671c9de4f8437cc5fff0e804f4c62179	vix_eod_2010-0pjoap.7z
vix	2011	12	201101	201112	1883155	dfd04a5c331a2340185e7d5092983818	vix_eod_2011-q0gy68.7z
vix	2012	12	201201	201212	2308027	6234bfa4164bb93c68136390b13d293d	vix_eod_2012-04ebjs.7z
vix	2013	12	201301	201312	2433860	98ce06e05ea9e0925474ecf4061fb15b	vix_eod_2013-dhqdxf.7z
vix	2014	12	201401	201412	2449381	d2a31bf4a8c67cda162b5738e2eb912c	vix_eod_2014-71mlps.7z
vix	2015	12	201501	201512	2303531	5a85a3ec5ba4b8b1c1d6703a520ad078	vix_eod_2015-rzv2va.7z
vix	2016	12	201601	201612	2626339	f88cb95a66ab931e8da207ba51616d5a	vix_eod_2016-hf5equ.7z
vix	2017	12	201701	201712	2660233	a8d406ce29f061f7545ff78783ea3fa5	vix_eod_2017-zgob6o.7z
vix	2018	12	201801	201812	3632330	332211efab9182b7f254853b1cb4530c	vix_eod_2018-gujrgx.7z
vix	2019	12	201901	201912	4139254	a12089f2f7bb910f06895fc41ab5a173	vix_eod_2019-jactqr.7z
vix	2020	12	202001	202012	5159329	c7ce07575aeff9542b25734c777356b1	vix_eod_2020-km0rof.7z
vix	2021q1_2	6	202101	202106	2940177	c517e37d0ea89bc8ce909104e0469289	vix_eod_2021q1_2-qzoubr.7z
vix	2021q3	3	202107	202109	1720056	389afff64ce93aa0ca834a6b08d1fcc0	vix_eod_2021q3-relpu9.7z
vix	2021q4	3	202110	202112	1675299	9eb153528d9800cb5d865f68910d824c	vix_eod_2021q4-yseqkt.7z
vix	2022q1	3	202201	202203	1723690	8bcd4248d61bd3b676d57e85b93daf95	vix_eod_2022q1-db6qbm.7z
vix	2022q2	3	202204	202206	1715446	2ad4fb8b77eca4042a7c317dd7861410	vix_eod_2022q2-rr3nfo.7z
vix	2022q3	3	202207	202209	1778206	fd7d9e4e4593b93356ea5210d3709660	vix_eod_2022q3-yk8ddr.7z
vix	2022q4	3	202210	202212	1944765	81c023a7f818094ca0f8ddc41ab3a56a	vix_eod_2022q4-lcpiep.7z
vix	2023q1	3	202301	202303	1910172	700ce13b21d6285629cc5541b1a07547	vix_eod_2023q1-krx1qq.7z
vix	2023q2	3	202304	202306	1823940	0f26df2761cff15eed1567da38243eac	vix_eod_2023q2-ddxs1v.7z
vix	2023q3	3	202307	202309	1940714	a7e2641c354dc483653154c77d767c45	vix_eod_2023q3-ldc9fx.7z
vix	2023q4	3	202310	202312	1990561	d465a5e1f1465ba41c7cafc4080958e5	vix_eod_2023q4-9rnzlg.7z
